GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,1628995,Kevin Knox II,Kevin,31,4,27,0.129,560.2333333333333,86,186,0.462,31,94,0.33,20,22,0.909,18,57,75,23,22,13,7,12,50,22,223,-85,385.5,1,0,392.0,10,11,22,21,11,13,13,14,8,10,17,17,18,2,8,15,13,18,14,15,12,19,21,15,13,16,14,7,1,14
Players,1628997,Caleb Martin,Caleb,64,36,28,0.563,1756.5533333333333,241,559,0.431,81,232,0.349,77,99,0.778,74,207,281,143,77,47,29,40,126,108,640,66,1342.7,2,0,1297.0,5,5,18,10,5,6,6,13,4,4,13,7,6,16,4,4,5,8,6,5,3,17,18,4,6,5,6,4,3,6
Players,1628998,Cody Martin,Cody,28,7,21,0.25,752.9916666666667,82,215,0.381,27,86,0.314,20,33,0.606,19,90,109,104,44,32,18,19,48,41,211,-157,603.8,1,0,551.0,12,12,15,12,12,14,13,23,13,12,18,14,14,24,11,11,12,9,12,6,7,20,13,13,15,17,11,9,2,11
Players,1629001,De'Anthony Melton,De'Anthony,38,25,13,0.658,1023.3316666666668,139,360,0.386,77,214,0.36,66,79,0.835,28,113,141,114,39,60,16,22,84,58,421,218,950.2,0,0,905.0,10,10,13,6,7,7,6,23,5,4,15,5,6,9,11,9,9,6,8,5,9,22,20,7,6,4,7,13,2,6
Players,1629002,Chimezie Metu,Chimezie,37,22,15,0.595,447.5183333333333,66,130,0.508,15,51,0.294,38,43,0.884,24,86,110,19,27,19,9,8,39,26,185,-37,402.5,1,0,385.0,13,13,10,14,14,12,13,8,14,14,14,9,9,4,11,10,12,14,10,12,13,12,10,10,12,18,13,6,2,13
Players,1629003,Shake Milton,Shake,38,27,11,0.711,490.70666666666665,64,160,0.4,14,53,0.264,36,44,0.818,7,44,51,50,28,16,5,14,44,35,178,-28,349.2,0,0,335.0,10,11,10,7,10,10,9,17,10,10,14,9,9,6,12,11,11,11,9,11,11,11,11,9,10,19,11,6,1,10
Players,1629004,Svi Mykhailiuk,Svi,41,32,9,0.78,413.16333333333336,57,137,0.416,42,108,0.389,6,9,0.667,11,40,51,35,12,11,1,4,19,12,162,149,299.7,0,0,314.0,11,11,9,12,11,12,11,17,9,9,8,15,14,15,15,12,13,11,12,12,16,8,7,13,11,10,12,10,3,12
Players,1629006,Josh Okogie,Josh,60,37,23,0.617,959.715,86,206,0.417,29,94,0.309,76,102,0.745,74,80,154,64,36,48,24,18,68,98,277,6,737.8,0,0,668.0,7,7,16,9,8,10,9,15,7,7,12,6,6,13,3,11,8,9,8,7,9,15,15,6,8,10,8,10,2,8
Players,1629007,Jontay Porter,Jontay,26,6,20,0.231,359.73833333333334,40,104,0.385,20,60,0.333,15,18,0.833,26,56,82,60,21,20,20,3,35,11,115,-72,402.4,0,0,357.0,18,15,15,19,19,20,19,22,13,16,12,20,20,7,12,16,16,13,19,11,4,8,13,21,19,17,16,12,2,17
Players,1629008,Michael Porter Jr.,Michael,81,57,24,0.704,2564.605,522,1079,0.484,220,554,0.397,92,110,0.836,106,459,565,122,92,42,53,39,148,98,1356,472,2410.0,14,0,2453.0,3,1,12,7,2,2,2,5,1,1,5,6,6,4,3,2,2,7,5,6,3,13,14,4,2,3,2,2,2,2
