TeamID,SEASON,PLAYER,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,GROUP_SET,PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,team_id
1610612737,2023,Mouhamed Gueye,mouhamed-gueye,18.0,F,6-10,210,"NOV 09, 2002",21.0,R,Washington State,1631243,Draft Rights Traded from BOS on 06/28/23,Players,Mouhamed Gueye,6,2,4,0.333,72.8,8,23,0.348,3,9,0.333,5,6,0.833,10,12,22,4,1,5,4,3,13,5,24,-41,82.4,0,0,18,18,2,17,18,18,17,17,15,17,11,13,14,6,13,17,15,17,18,16,14,4,4,15,18,10,16,9,3,1610612737
1610612737,2023,Dylan Windler,dylan-windler,20.0,G-F,6-7,196,"SEP 22, 1996",27.0,3,Belmont,1629685,Signed on 03/04/24,Players,Dylan Windler,8,4,4,0.5,27.69333333333333,4,9,0.444,4,8,0.5,0,0,0.0,0,3,3,6,0,0,0,0,2,0,12,-1,24.6,0,0,18,19,3,16,19,18,19,11,12,16,1,19,19,19,19,18,19,16,20,20,17,1,3,20,18,9,18,8,4,1610612747
1610612737,2023,Bruno Fernando,bruno-fernando,24.0,F-C,6-9,240,"AUG 15, 1998",25.0,4,Maryland,1628981,Traded from HOU on 02/09/23,Players,Bruno Fernando,45,20,25,0.444,682.3033333333333,109,187,0.583,0,4,0.0,64,96,0.667,59,134,193,46,44,25,28,23,107,75,282,-96,697.6,0,0,10,10,9,8,10,9,10,2,18,18,18,9,9,15,6,8,8,11,9,9,4,11,11,9,10,16,9,9,3,1610612737
1610612737,2023,Garrison Mathews,garrison-mathews,25.0,G,6-6,215,"OCT 24, 1996",27.0,4,Lipscomb,1629726,Traded from HOU on 02/09/23,Players,Garrison Mathews,66,29,37,0.439,992.1216666666668,103,226,0.456,85,193,0.44,34,42,0.81,17,75,92,37,19,20,8,5,115,68,325,-97,555.9,0,0,4,4,16,11,9,10,9,9,6,7,2,10,10,8,10,10,10,12,12,10,11,6,13,10,9,17,10,9,3,1610612737
1610612737,2023,Vit Krejci,vit-krejci,27.0,G,6-8,195,"JUN 19, 2000",23.0,2,Zaragoza,1630249,Signed on 12/22/23,Players,Vit Krejci,22,9,13,0.409,541.32,51,104,0.49,28,68,0.412,5,6,0.833,11,41,52,50,20,13,6,7,48,11,135,1,309.4,0,0,13,13,7,14,11,11,11,6,8,10,3,13,14,6,11,12,12,10,10,12,12,9,9,13,11,2,11,9,3,1610612737
1610612737,2023,Wesley Matthews,wesley-matthews,32.0,G,6-5,220,"OCT 14, 1986",37.0,14,Marquette,202083,Signed on 07/21/23,Players,Wesley Matthews,36,11,25,0.306,412.87,34,97,0.351,24,69,0.348,18,24,0.75,9,44,53,23,8,16,11,6,43,20,110,-69,281.1,0,0,12,12,9,18,13,12,12,16,9,8,10,11,11,12,14,11,11,14,14,11,8,8,8,11,12,13,13,9,3,1610612737
1610612737,2023,Saddiq Bey,saddiq-bey,41.0,G-F,6-7,215,"APR 09, 1999",25.0,3,Villanova,1630180,Traded from DET on 02/09/23,Players,Saddiq Bey,63,28,35,0.444,2061.6583333333333,290,697,0.416,113,358,0.316,170,203,0.837,167,244,411,92,54,51,11,49,88,139,863,-19,1626.2,8,0,5,5,15,8,3,7,5,12,5,4,13,3,4,5,2,4,4,5,7,5,8,14,10,5,6,5,6,5,3,1610612737
1610612738,2023,Jayson Tatum,jayson-tatum,0.0,F-G,6-8,210,"MAR 03, 1998",26.0,6,Duke,1628369,#3 Pick in 2017 Draft,Players,Jayson Tatum,74,57,17,0.77,2645.213333333333,672,1426,0.471,229,609,0.376,414,497,0.833,67,534,601,364,188,75,43,61,145,340,1987,608,3420.2,25,0,3,4,16,14,1,1,1,9,1,1,10,1,1,8,7,1,1,2,1,2,6,18,16,1,1,2,1,1,3,1610612738
1610612738,2023,Jrue Holiday,jrue-holiday,4.0,G,6-4,205,"JUN 12, 1990",33.0,14,UCLA,201950,Traded from POR on 10/01/23,Players,Jrue Holiday,69,53,16,0.768,2263.278333333333,331,689,0.48,138,322,0.429,60,72,0.833,84,289,373,333,124,61,53,28,108,84,860,427,2025.1,7,0,6,5,15,15,4,5,5,8,6,6,3,5,6,7,3,5,5,3,3,4,5,16,15,5,5,5,5,3,3,1610612738
1610612738,2023,Jaylen Brown,jaylen-brown,7.0,G-F,6-6,223,"OCT 24, 1996",27.0,7,California,1627759,#3 Pick in 2016 Draft,Players,Jaylen Brown,70,52,18,0.743,2342.5216666666665,627,1256,0.499,145,410,0.354,211,300,0.703,84,303,387,249,166,83,37,72,185,241,1610,413,2641.9,6,1,5,6,18,19,3,2,2,7,5,4,13,3,3,14,3,4,4,5,2,1,7,19,19,3,2,8,2,4,1,1610612738
1610612738,2023,Kristaps Porzingis,kristaps-porzingis,8.0,F-C,7-2,240,"AUG 02, 1995",28.0,7,Cajasol Sevilla,204001,Traded from WAS on 06/23/23,Players,Kristaps Porzingis,57,43,14,0.754,1689.9483333333333,388,752,0.516,110,293,0.375,259,302,0.858,97,312,409,115,89,42,111,18,156,280,1145,417,2178.3,13,0,9,10,11,17,8,3,4,4,7,7,11,2,2,6,2,3,3,7,5,5,1,14,18,2,3,7,4,2,3,1610612738
1610612738,2023,Derrick White,derrick-white,9.0,G,6-4,190,"JUL 02, 1994",29.0,6,Colorado,1628401,Traded from SAS on 02/10/22,Players,Derrick White,73,58,15,0.795,2380.985,387,839,0.461,196,495,0.396,137,152,0.901,51,259,310,377,112,74,87,28,152,154,1107,619,2415.5,5,1,4,3,13,8,2,4,3,12,3,2,7,4,4,2,10,6,6,1,4,3,2,16,17,4,4,1,3,5,1,1610612738
1610612738,2023,Payton Pritchard,payton-pritchard,11.0,G,6-1,195,"JAN 28, 1998",26.0,3,Oregon,1630202,#26 Pick in 2020 Draft,Players,Payton Pritchard,82,64,18,0.78,1825.7333333333331,297,635,0.468,147,382,0.385,46,56,0.821,70,195,265,281,61,39,6,27,106,62,787,449,1600.5,3,0,1,1,18,12,5,6,6,10,4,5,9,8,7,9,6,8,8,4,6,7,12,15,14,7,6,4,6,6,3,1610612738
1610612738,2023,Oshae Brissett,oshae-brissett,12.0,F-G,6-7,210,"JUN 20, 1998",25.0,4,Syracuse,1629052,Signed on 07/06/23,Players,Oshae Brissett,55,46,9,0.836,630.165,68,153,0.444,15,55,0.273,50,83,0.602,61,99,160,44,20,19,8,9,54,57,201,114,520.0,0,0,10,9,9,6,10,10,10,14,10,10,15,6,5,16,8,10,10,10,10,10,11,9,10,8,10,12,10,10,3,1610612738
