,SEASON,PLAYER_ID,PLAYER,GP,W,L,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS_x,NBA_FANTASY_PTS,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,HOW_ACQUIRED,TEAM_ID,TEAM_NAME,GP_TEAM,FGM_TEAM,FGA_TEAM,FG3M_TEAM,FG3A_TEAM,FTM_TEAM,FTA_TEAM,OREB_TEAM,DREB_TEAM,REB_TEAM,AST_TEAM,TOV_TEAM,STL_TEAM,BLK_TEAM,PF_TEAM,PTS_TEAM,PLUS_MINUS_y,PPG,PACE,uPER,aPER,nPER
13,2023,1628981,Bruno Fernando,45,20,25,682.3033333333333,109,187,0,4,64,96,59,134,193,46,44,25,28,107,282,-96,697.6,F-C,6-9,240,"AUG 15, 1998",25.0,4,Maryland,,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,6.266666666666667,100.84,9.333333333333334,9.17688307109172,13.095187618349332
14,2023,1629726,Garrison Mathews,66,29,37,992.1216666666667,103,226,85,193,34,42,17,75,92,37,19,20,8,115,325,-97,555.9,G,6-6,215,"OCT 24, 1996",27.0,4,Lipscomb,Traded from HOU on 02/09/23,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,4.924242424242424,100.84,5.03030303030303,4.945982434419562,7.057795924175289
15,2023,1630249,Vít Krejčí,22,9,13,541.32,51,104,28,68,5,6,11,41,52,50,20,13,6,48,135,1,309.4,G,6-8,195,"JUN 19, 2000",24.0,2,Zaragoza,Signed on 12/22/23,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,6.136363636363637,100.84,8.272727272727273,8.134055449376751,11.607098116264181
16,2023,202083,Wesley Matthews,36,11,25,412.87,34,97,24,69,18,24,9,44,53,23,8,16,11,43,110,-69,281.1,G,6-5,220,"OCT 14, 1986",37.0,14,Marquette,,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,3.0555555555555554,100.84,3.7777777777777777,3.7144526716323623,5.300433083617587
17,2023,1630180,Saddiq Bey,63,28,35,2061.6583333333333,290,697,113,358,170,203,167,244,411,92,54,51,11,88,863,-19,1626.2,G-F,6-7,215,"APR 09, 1999",25.0,3,Villanova,,1610612737,Atlanta Hawks,82,3529,7584,1125,3092,1520,1906,1024,2639,3663,2180,1110.0,615,369,1522,9703,-179.0,13.698412698412698,100.84,14.825396825396826,14.576885694557255,20.800859244112715
18,2023,1628369,Jayson Tatum,74,57,17,2645.213333333333,672,1426,229,609,414,497,67,534,601,364,188,75,43,145,1987,608,3420.2,F-G,6-8,210,"MAR 03, 1998",26.0,6,Duke,#3 Pick in 2017 Draft,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,26.85135135135135,97.98,27.635135135135137,27.965038139793194,39.90542522531249
19,2023,201950,Jrue Holiday,69,53,16,2263.278333333333,331,689,138,322,60,72,84,289,373,333,124,61,53,108,860,427,2025.1,G,6-4,205,"JUN 12, 1990",34.0,14,UCLA,Traded from POR on 10/01/23,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,12.46376811594203,97.98,17.18840579710145,17.393597727230148,24.82023840029996
20,2023,1627759,Jaylen Brown,70,52,18,2342.5216666666665,627,1256,145,410,211,300,84,303,387,249,166,83,37,185,1610,413,2641.9,G-F,6-6,223,"OCT 24, 1996",27.0,7,California,#3 Pick in 2016 Draft,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,23.0,97.98,21.17142857142857,21.424169072405448,30.571765096818513
21,2023,204001,Kristaps Porziņģis,57,43,14,1689.9483333333333,388,752,110,293,259,302,97,312,409,115,89,42,111,156,1145,417,2178.3,F-C,7-2,240,"AUG 02, 1995",28.0,7,Cajasol Sevilla,Traded from WAS on 06/23/23,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,20.087719298245613,97.98,23.263157894736842,23.540869063861944,33.59224419687353
22,2023,1628401,Derrick White,73,58,15,2380.985,387,839,196,495,137,152,51,259,310,377,112,74,87,152,1107,619,2415.5,G,6-4,190,"JUL 02, 1994",29.0,6,Colorado,Traded from SAS on 02/10/22,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,15.164383561643836,97.98,18.84931506849315,19.074334618657616,27.218608823004452
23,2023,1630202,Payton Pritchard,82,64,18,1825.7333333333333,297,635,147,382,46,56,70,195,265,281,61,39,6,106,787,449,1600.5,G,6-1,195,"JAN 28, 1998",26.0,3,Oregon,#26 Pick in 2020 Draft,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,9.597560975609756,97.98,11.817073170731707,11.95814315017002,17.06397770413416
24,2023,1629052,Oshae Brissett,55,46,9,630.165,68,153,15,55,50,83,61,99,160,44,20,19,8,54,201,114,520.0,F-G,6-7,210,"JUN 20, 1998",26.0,4,Syracuse,,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,3.6545454545454548,97.98,5.345454545454546,5.409267568520478,7.718892475678138
25,2023,1641809,Drew Peterson,3,3,0,22.683333333333334,4,6,3,5,0,0,0,1,1,1,1,2,0,1,11,8,18.7,F,6-9,205,"NOV 09, 1999",24.0,R,Southern California,Signed on 12/14/23,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,3.6666666666666665,97.98,4.0,4.047751241750017,5.776041988602688
26,2023,1631120,JD Davison,8,8,0,39.01,5,12,3,7,3,4,2,8,10,10,2,1,1,4,16,23,47.0,G,6-1,195,"OCT 03, 2002",21.0,1,Alabama,#53 Pick in 2022 Draft,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,2.0,97.98,3.5,3.541782336531265,5.054036740027352
27,2023,1630214,Xavier Tillman,34,14,20,700.23,87,213,12,53,18,43,56,101,157,57,29,42,35,60,204,-102,679.9,F,6-7,245,"JAN 12, 1999",25.0,3,Michigan State,Traded from MEM on 02/07/24,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,6.0,97.98,9.264705882352942,9.375306184935702,13.378332547131228
28,2023,1641775,Jordan Walsh,9,9,0,83.47333333333333,6,15,2,9,1,2,5,15,20,5,3,5,1,11,15,47,61.5,G,6-6,205,"MAR 03, 2004",20.0,R,Arkansas,Draft Rights Traded from SAC on 06/28/23,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,1.6666666666666667,97.98,3.6666666666666665,3.710438638270849,5.2947051562191305
29,2023,1630573,Sam Hauser,79,62,17,1740.585,249,558,197,465,17,19,45,231,276,82,32,40,25,99,712,492,1329.2,F,6-7,217,"DEC 08, 1997",26.0,2,Virginia,Signed on 08/13/21,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,9.012658227848101,97.98,10.025316455696203,10.144996783120297,14.476662199282687
30,2023,1628436,Luke Kornet,63,48,15,983.31,142,203,1,1,49,54,118,143,261,67,21,23,61,77,334,218,978.7,C-F,7-1,250,"JUL 15, 1995",28.0,6,Vanderbilt,Signed on 02/11/22,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,5.301587301587301,97.98,10.46031746031746,10.585190747274847,15.104808216226873
31,2023,201143,Al Horford,65,51,14,1739.7966666666666,214,419,108,258,26,30,82,331,413,168,48,38,62,93,562,421,1561.6,C-F,6-9,240,"JUN 03, 1986",38.0,16,Florida,Traded from OKC on 06/18/21,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,8.646153846153846,97.98,15.169230769230769,15.350318170636603,21.904528464470193
32,2023,1630531,Jaden Springer,32,17,15,377.365,46,118,8,37,28,34,25,33,58,35,26,25,11,49,128,-66,332.1,G,6-4,202,"SEP 25, 2002",21.0,2,Tennessee,Traded from PHI on 02/08/24,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,4.0,97.98,4.78125,4.838327656154317,6.90417518950165
33,2023,1629004,Svi Mykhailiuk,41,32,9,413.16333333333336,57,137,42,108,6,9,11,40,51,35,12,11,1,19,162,149,299.7,G-F,6-7,205,"JUN 10, 1997",27.0,5,Kansas,,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,3.951219512195122,97.98,4.024390243902439,4.072432651760688,5.811261756825876
34,2023,1629674,Neemias Queta,28,24,4,333.21666666666664,67,104,0,0,20,28,53,69,122,20,13,13,21,50,154,135,419.4,C,7-0,248,"JUL 13, 1999",24.0,2,Utah State,Signed on 09/19/23,1610612738,Boston Celtics,82,3601,7396,1351,3482,1334,1654,876,2923,3799,2207,979.0,557,538,1326,9887,930.0,5.5,97.98,9.714285714285714,9.830253015678613,14.027530543749386
35,2023,1629622,Max Strus,70,43,27,2239.175,304,728,168,479,77,97,66,272,338,283,112,64,29,170,853,254,1850.1,G-F,6-5,215,"MAR 28, 1996",28.0,4,DePaul,Traded from MIA on 07/06/23,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,12.185714285714285,97.62,14.442857142857143,14.66917098369772,20.93254809383936
36,2023,1629660,Ty Jerome,2,1,1,14.816666666666666,2,4,0,1,0,0,1,0,1,3,1,0,0,2,4,-14,8.7,G-F,6-5,195,"JUL 08, 1997",26.0,4,Virginia,Signed on 07/06/23,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,2.0,97.62,2.5,2.539174008058458,3.6233391853826786
